year	month	data-type	region	extent	area	time
1999	9	Goddard	S	18.7	14.62	1999.70833333333
1999	10	Goddard	N	8.6	6.83	1999.79166666667
1999	10	Goddard	S	18.35	14.23	1999.79166666667
1999	11	Goddard	N	10.8	9.26	1999.875
1999	11	Goddard	S	15.96	11.51	1999.875
1999	12	Goddard	N	12.64	10.99	1999.95833333333
1999	12	Goddard	S	10.72	6.8	1999.95833333333
2000	1	Goddard	N	14.22	12.3	2000.04166666667
2000	1	Goddard	S	4.75	2.92	2000.04166666667
2000	2	Goddard	N	15.14	13.09	2000.125
2000	2	Goddard	S	2.91	1.72	2000.125
2000	3	Goddard	N	15.22	13.17	2000.20833333333
2000	3	Goddard	S	4.09	2.67	2000.20833333333
2000	4	Goddard	N	14.56	12.6	2000.29166666667
